NiMn,Ni,Mn,Sn,Fe,Co,Cu,Al,Numa,anum,Ven,avg Ven,En,Arc,mass,T
Ni41Mn43Sn10Co6,41.0,43.0,10.0,0.0,6.0,0.0,0.0,4,28.85,8.05,0.279029462738302,1.7584,1.2915,63.0939,320.0
Ni49Mn39Sn12*,49.0,39.0,12.0,0.0,0.0,0.0,0.0,3,29.47,8.11,0.275195113674924,1.7756,1.2973,64.4299,340.5
Ni43Co2Cu5Mn39Sn11,43.0,39.0,11.0,0.0,2.0,5.0,0.0,5,29.28,8.2,0.280054644808743,1.774,1.2957,64.0775,306.5
Ni42Mn48Sn10,42.0,48.0,10.0,0.0,0.0,0.0,0.0,3,28.76,7.96,0.276773296244784,1.7422,1.2924,62.892,254.5
Ni43Mn46Sn10.5Al0.5,43.0,46.0,10.5,0.0,0.0,0.0,0.5,4,28.855,7.955,0.275688788771443,1.74815,1.29465,63.10855,236.5
Ni50Mn33Sn15Co2,50.0,33.0,15.0,0.0,2.0,0.0,0.0,4,30.29,8.09,0.267084846483988,1.7981,1.3071,66.4603,257.0
Ni38Mn52Sn10,38.0,52.0,10.0,0.0,0.0,0.0,0.0,3,28.64,7.84,0.273743016759777,1.7278,1.2936,62.742,153.0
Ni44.65Mn38.6Co6.1Sn10.65,44.65,38.6,10.65,0.0,6.1,0.0,0.0,4,29.124,8.142,0.279563246806757,1.774535,1.29266,63.64927,341.0
Ni50Mn37Sn9Co4,50.0,37.0,9.0,0.0,4.0,0.0,0.0,4,28.83,8.31,0.288241415192508,1.7801,1.2857,62.7139,465.5
Ni49Mn37Co1Sn13,49.0,37.0,13.0,0.0,1.0,0.0,0.0,4,29.74,8.1,0.27236045729657,1.783,1.3006,65.1075,301.0
Ni51.2Mn36.8Sn12,51.2,36.8,12.0,0.0,0.0,0.0,0.0,3,29.536,8.176,0.276814734561213,1.78352,1.29664,64.5124,325.5
Ni42.6Mn39.6Sn9.7Fe8.1,42.6,39.6,9.7,8.1,0.0,0.0,0.0,4,28.784,8.068,0.28029460811562,1.76581,1.29036,62.7969,292.5
Ni39.5Mn47Fe3Sn10.5,39.5,47.0,10.5,3.0,0.0,0.0,0.0,4,28.84,7.9,0.273925104022191,1.74365,1.2946,63.1444,243.5
Ni46.8Mn36.5Cu2.5Sn14.3,46.8,36.5,14.3,0.0,0.0,2.5,0.0,4,30.104,8.082,0.268469306404465,1.78741,1.30753,66.0843,204.5
Ni40Co10Mn41Sn9,40.0,41.0,9.0,0.0,10.0,0.0,0.0,4,28.65,8.13,0.283769633507853,1.7639,1.2875,62.5783,417.5
Ni38.5Mn50Fe2Sn9.5,38.5,50.0,9.5,2.0,0.0,0.0,0.0,4,28.55,7.89,0.276357267950963,1.73315,1.2915,62.4601,204.5
Ni43Co7Mn41Sn9,43.0,41.0,9.0,0.0,7.0,0.0,0.0,4,28.68,8.16,0.284518828451883,1.7648,1.2872,62.5711,415.5
